comfort_level,time_video,yolo_count_sum
"4,499999",62.19,10
"4,5",107.403,23
"3,999999",153.777,25
4,197.119,43
4,240.657,41
4,284.42,45
"3,999999",328.263,13
"3,999999",371.505,22
4,414.703,18
