comfort_level,time_video,yolo_count_sum
"2,5",60.583,20
"2,3",103.742,61
"2,1",146.923,72
"1,9",191.863,88
2,238.215,92
"1,9",283.504,139
"1,4",327.333,153
"1,4",372.018,207
