comfort_level,time_video,yolo_count_sum
4,112.921,26
"3,8",159.404,28
"3,7",202.905,29
"3,4",246.628,38
"3,2",291.326,57
3,333.894,64
"2,8",379.94,50
"2,9",424.669,31
