comfort_level,time_video,yolo_count_sum
5,62.234,7
4,106.611,10
"3,999999",150.93,17
"3,999999",195.005,19
"3,999999",245.716,8
"3,999999",306.332,23
"3,5",349.372,36
"3,5",397.186,19
