comfort_level,time_video,yolo_count_sum
"4,999999",63.296,39
"4,499999",111.238,57
"4,299999",176.798,127
4,225.944,114
"3,799999",298.419,200
"3,5",369.192,169
"3,4",489.129,305
"3,5",542.401,127
