comfort_level,time_video,yolo_count_sum
5,64.651,14
"4,8",106.678,46
"4,9",151.916,88
"4,9",202.419,142
"4,8",244.706,120
"4,8",288.948,141
"4,9",331.869,155
"4,9",381.481,204
