comfort_level,time_video,yolo_count_sum
5,71.78,5
5,116.964,8
"4,6",161.093,23
"4,8",204.817,25
"4,9",249.965,37
"4,799999",298.274,37
"4,9",350.711,38
"4,9",404.071,41
