Environment,Participant,Acceptance Value,Density Value
Rural Cargo,N01,1,0.2758621
Rural Cargo,N01,1,0.8571429
Rural Cargo,N01,1,1.217391
Rural Cargo,N01,1,1.775281
Rural Cargo,N02,4,0.2758621
Rural Cargo,N02,4,0.8571429
Rural Cargo,N02,2,1.246377
Rural Cargo,N02,1,1.775281
Rural Cargo,N02,1,2.238532
Rural Cargo,N03,4,0.2758621
Rural Cargo,N03,2,0.8571429
Rural Cargo,N03,2,1.246377
Rural Cargo,N03,1,1.775281
Rural Cargo,N04,4,0.2758621
Rural Cargo,N04,4,0.8571429
Rural Cargo,N04,3,1.246377
Rural Cargo,N04,3,1.775281
Rural Cargo,N04,2,2.238532
Rural Cargo,N04,2,2.775194
Rural Cargo,N04,2,3.221477
Rural Cargo,N04,2,3.751479
Rural Cargo,N05,4,0.2758621
Rural Cargo,N05,4,0.8571429
Rural Cargo,N05,2,1.246377
Rural Cargo,N05,2,1.775281
Rural Cargo,N05,1,2.238532
Rural Cargo,N05,1,2.775194
Rural Cargo,N06,4,0.2758621
Rural Cargo,N06,4,0.8571429
Rural Cargo,N06,4,1.246377
Rural Cargo,N06,4,1.775281
Rural Cargo,N06,4,2.238532
Rural Cargo,N06,3,2.703125
Rural Cargo,N06,3,3.221477
Rural Cargo,N06,3,3.727811
Rural Cargo,N07,2,0.2758621
Rural Cargo,N07,2,0.8571429
Rural Cargo,N07,2,1.217391
Rural Cargo,N07,1,1.775281
Rural Cargo,N07,1,2.220183
Rural Cargo,N07,1,2.775194
Rural Cargo,N07,1,3.221477
Rural Cargo,N07,1,3.727811
Rural Cargo,N08,4,0.2758621
Rural Cargo,N08,3,0.8571429
Rural Cargo,N08,3,1.217391
Rural Cargo,N08,3,1.775281
Rural Cargo,N08,3,2.238532
Rural Cargo,N08,3,2.775194
Rural Cargo,N08,3,3.221477
Rural Cargo,N08,3,3.727811
Rural Cargo,N09,5,0.2758621
Rural Cargo,N09,2,0.8571429
Rural Cargo,N09,2,1.217391
Rural Cargo,N09,2,1.775281
Rural Cargo,N09,3,2.220183
Rural Cargo,N09,2,2.775194
Rural Cargo,N09,2,3.221477
Rural Cargo,N09,2,3.727811
Rural Cargo,N10,3,0.2758621
Rural Cargo,N10,3,0.8571429
Rural Cargo,N10,3,1.217391
Rural Cargo,N10,2,1.775281
Rural Cargo,N10,2,2.220183
Rural Cargo,N10,2,2.775194
Rural Cargo,N10,2,3.221477
Rural Cargo,N10,2,3.715976
Rural Cargo,N11,4,0.2758621
Rural Cargo,N11,2,0.8571429
Rural Cargo,N11,2,1.217391
Rural Cargo,N11,2,1.775281
Rural Cargo,N11,2,2.238532
Rural Cargo,N11,2,2.775194
Rural Cargo,N11,2,3.221477
Rural Cargo,N11,2,3.727811
Rural Cargo,N12,4,0.2758621
Rural Cargo,N12,4,0.8571429
Rural Cargo,N12,2,1.217391
Rural Cargo,N12,2,1.775281
Rural Cargo,N12,4,2.220183
Rural Cargo,N12,3,2.775194
Rural Cargo,N12,3,3.221477
Rural Cargo,N12,3,3.715976
Rural Cargo,N13,3,0.2758621
Rural Cargo,N13,3,0.8571429
Rural Cargo,N13,2,1.246377
Rural Cargo,N13,2,1.775281
Rural Cargo,N13,2,2.238532
Rural Cargo,N13,2,2.775194
Rural Cargo,N13,2,3.221477
Rural Cargo,N13,2,3.727811
Rural Cargo,N14,3,0.2758621
Rural Cargo,N14,2,0.8571429
Rural Cargo,N14,2,1.217391
Rural Cargo,N14,2,1.775281
Rural Cargo,N14,2,2.238532
Rural Cargo,N14,1,2.775194
Rural Cargo,N14,1,3.221477
Rural Cargo,N14,1,3.715976
Rural Cargo,N15,4,0.2758621
Rural Cargo,N15,4,0.8571429
Rural Cargo,N15,4,1.246377
Rural Cargo,N15,4,1.775281
Rural Cargo,N15,4,2.238532
Rural Cargo,N15,4,2.775194
Rural Cargo,N15,4,3.221477
Rural Cargo,N15,3,3.727811
Rural Cargo,N16,4,0.2758621
Rural Cargo,N16,4,0.8571429
Rural Cargo,N16,4,1.246377
Rural Cargo,N16,3,1.775281
Rural Cargo,N16,3,2.238532
Rural Cargo,N16,3,2.790698
Rural Cargo,N16,3,3.221477
Rural Cargo,N16,3,3.727811
Rural Cargo,N17,4,0.2758621
Rural Cargo,N17,3,0.8571429
Rural Cargo,N17,3,1.217391
Rural Cargo,N17,2,1.775281
Rural Cargo,N17,2,2.220183
Rural Cargo,N17,2,2.775194
Rural Cargo,N17,2,3.221477
Rural Cargo,N17,2,3.715976
Rural Cargo,N18,3,0.2758621
Rural Cargo,N18,3,0.8571429
Rural Cargo,N18,3,1.246377
Rural Cargo,N18,2,1.775281
Rural Cargo,N18,2,2.238532
Rural Cargo,N18,2,2.775194
Rural Cargo,N18,2,3.221477
Rural Cargo,N18,2,3.727811
Rural Cargo,N19,1,0.2758621
Rural Cargo,N19,2,0.8571429
Rural Cargo,N19,1,1.246377
Rural Cargo,N19,1,1.775281
Rural Cargo,N19,1,2.238532
Rural Cargo,N19,1,2.775194
Rural Cargo,N19,1,3.221477
Rural Cargo,N19,1,3.715976
Rural Cargo,N20,4,0.2758621
Rural Cargo,N20,4,0.8571429
Rural Cargo,N20,3,1.217391
Rural Cargo,N20,2,1.775281
Rural Cargo,N20,2,2.220183
Rural Cargo,N20,2,2.775194
Rural Cargo,N20,2,3.221477
Rural Cargo,N20,2,3.727811
Rural Cargo,D04,5,0.2758621
Rural Cargo,D04,5,0.8571429
Rural Cargo,D04,3,1.246377
Rural Cargo,D04,1,1.775281
Rural Cargo,D05,3,0.2758621
Rural Cargo,D05,3,0.8571429
Rural Cargo,D05,3,1.246377
Rural Cargo,D05,3,1.775281
Rural Cargo,D05,3,2.238532
Rural Cargo,D05,3,2.790698
Rural Cargo,D05,3,3.221477
Rural Cargo,D05,3,3.751479
Rural Cargo,D06,5,0.2758621
Rural Cargo,D06,5,0.8571429
Rural Cargo,D06,5,1.246377
Rural Cargo,D06,4,1.775281
Rural Cargo,D06,4,2.238532
Rural Cargo,D06,3,2.775194
Rural Cargo,D06,2,3.221477
Rural Cargo,D06,1,3.727811
Rural Cargo,D07,5,0.2758621
Rural Cargo,D07,4,0.8571429
Rural Cargo,D07,4,1.246377
Rural Cargo,D07,4,1.775281
Rural Cargo,D07,2,2.238532
Rural Cargo,D07,2,2.775194
Rural Cargo,D07,2,3.221477
Rural Cargo,D07,2,3.739645
Rural Cargo,D08,4,0.2758621
Rural Cargo,D08,3,0.8571429
Rural Cargo,D08,2,1.246377
Rural Cargo,D08,2,1.775281
Rural Cargo,D08,1,2.238532
Rural Cargo,D09,5,0.2758621
Rural Cargo,D09,4,0.8571429
Rural Cargo,D09,4,1.246377
Rural Cargo,D09,4,1.775281
Rural Cargo,D09,4,2.238532
Rural Cargo,D09,4,2.790698
Rural Cargo,D09,4,3.221477
Rural Cargo,D09,4,3.751479
Rural Cargo,D10,4,0.2758621
Rural Cargo,D10,3,0.8571429
Rural Cargo,D10,1,1.217391
Rural Cargo,D11,3,0.2758621
Rural Cargo,D11,5,0.8571429
Rural Cargo,D11,2,1.246377
Rural Cargo,D11,1,1.775281
Rural Cargo,D12,5,0.2758621
Rural Cargo,D12,4,0.8571429
Rural Cargo,D12,3,1.217391
Rural Cargo,D12,3,1.775281
Rural Cargo,D12,2,2.238532
Rural Cargo,D12,2,2.775194
Rural Cargo,D12,1,3.221477
Rural Cargo,D13,2,0.2758621
Rural Cargo,D13,1,0.8571429
Rural Passenger,N01,3,0.2758621
Rural Passenger,N01,2,0.8571429
Rural Passenger,N01,1,1.246377
Rural Passenger,N01,1,1.775281
Rural Passenger,N01,1,2.238532
Rural Passenger,N01,1,2.75969
Rural Passenger,N02,4,0.2758621
Rural Passenger,N02,3,0.8571429
Rural Passenger,N02,2,1.246377
Rural Passenger,N02,1,1.775281
Rural Passenger,N02,1,2.238532
Rural Passenger,N02,1,2.75969
Rural Passenger,N03,2,0.2758621
Rural Passenger,N03,2,0.8571429
